,team_abbr,team_name,team_id,team_nick,team_conf,team_division,team_color,team_color2,team_color3,team_color4,team_logo_wikipedia,team_logo_espn,team_wordmark,team_conference_logo,team_league_logo,team_logo_squared,team,home_W,home_L,home_T,away_W,away_L,away_T,W,L,T,WinPct,division_place,market,market_pop,twitter_followers
0,ARI,Arizona Cardinals,0,Cardinals,NFC,NFC West,#97233F,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ARI.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/ARI.png,ARI,6,3,0,2,6,0,8,9,0,0.47058823529411764,3,Phoenix,2174000,1100000.0
1,ATL,Atlanta Falcons,1,Falcons,NFC,NFC South,#A71930,#000000,#a5acaf,#a30d2d,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ATL.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/ATL.png,ATL,4,5,0,4,4,0,8,9,0,0.47058823529411764,2,Atlanta,2737000,2400000.0
2,BAL,Baltimore Ravens,2,Ravens,AFC,AFC North,#241773,#9E7C0C,#9e7c0c,#c60c30,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/BAL.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/BAL.png,BAL,6,2,0,6,3,0,12,5,0,0.7058823529411765,1,Baltimore,1162000,1900000.0
3,BUF,Buffalo Bills,3,Bills,AFC,AFC East,#00338D,#C60C30,#0c2e82,#d50a0a,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/BUF.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/BUF.png,BUF,8,0,0,5,4,0,13,4,0,0.7647058823529411,1,Buffalo,641000,1800000.0
4,CAR,Carolina Panthers,4,Panthers,NFC,NFC South,#0085CA,#000000,#bfc0bf,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CAR.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CAR.png,CAR,3,6,0,2,6,0,5,12,0,0.29411764705882354,3,Charlotte,1362000,3000000.0
5,CHI,Chicago Bears,5,Bears,NFC,NFC North,#0B162A,#E64100,#0b162a,#E64100,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CHI.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CHI.png,CHI,4,5,0,1,7,0,5,12,0,0.29411764705882354,4,Chicago,3649000,2100000.0
6,CIN,Cincinnati Bengals,6,Bengals,AFC,AFC North,#FB4F14,#000000,#000000,#d32f1e,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CIN.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CIN.png,CIN,3,5,0,6,3,0,9,8,0,0.5294117647058824,3,Cincinnati,940000,1600000.0
7,CLE,Cleveland Browns,7,Browns,AFC,AFC North,#FF3C00,#311D00,#a5acaf,#d32f1e,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CLE.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CLE.png,CLE,2,6,0,1,8,0,3,14,0,0.17647058823529413,4,Cleveland-Akron,1553000,1600000.0
8,DAL,Dallas Cowboys,8,Cowboys,NFC,NFC East,#002244,#B0B7BC,#acc0c6,#a5acaf,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DAL.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/DAL.png,DAL,2,7,0,5,3,0,7,10,0,0.4117647058823529,3,Dallas-Ft. Worth,3130000,4400000.0
9,DEN,Denver Broncos,9,Broncos,AFC,AFC West,#002244,#FB4F14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/DEN.png,DEN,6,2,0,4,5,0,10,7,0,0.5882352941176471,3,Denver,1787000,2700000.0
10,DET,Detroit Lions,10,Lions,NFC,NFC North,#0076B6,#B0B7BC,#000000,#004e89,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DET.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/DET.png,DET,7,2,0,8,0,0,15,2,0,0.8823529411764706,1,Detroit,1930000,1700000.0
11,GB,Green Bay Packers,11,Packers,NFC,NFC North,#203731,#FFB612,#1c2d25,#eead1e,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/GB.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/GB.png,GB,6,3,0,5,3,0,11,6,0,0.6470588235294118,3,Milwaukee,932000,2600000.0
12,HOU,Houston Texans,12,Texans,AFC,AFC South,#03202F,#A71930,#00071c,#a30d2d,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/HOU.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/HOU.png,HOU,5,3,0,5,4,0,10,7,0,0.5882352941176471,1,Houston,2773000,2000000.0
13,IND,Indianapolis Colts,13,Colts,AFC,AFC South,#002C5F,#a5acaf,#013369,#9ba1a2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/IND.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/IND.png,IND,5,3,0,3,6,0,8,9,0,0.47058823529411764,2,Indianapolis,1206000,1200000.0
14,JAX,Jacksonville Jaguars,14,Jaguars,AFC,AFC South,#006778,#000000,#9f792c,#d7a22a,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/JAX.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/JAX.png,JAX,3,5,0,1,8,0,4,13,0,0.23529411764705882,3,Jacksonville,799000,881000.0
15,KC,Kansas City Chiefs,15,Chiefs,AFC,AFC West,#E31837,#FFB612,#000000,#e31837,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/KC.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/KC.png,KC,8,0,0,7,2,0,15,2,0,0.8823529411764706,1,Kansas City,1019000,2600000.0
16,LA,Los Angeles Rams,16,Rams,NFC,NFC West,#003594,#FFD100,#001532,#af925d,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LA.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LA.png,LA,5,4,0,5,3,0,10,7,0,0.5882352941176471,1,Los Angeles,5905000,1200000.0
17,LAC,Los Angeles Chargers,17,Chargers,AFC,AFC West,#007BC7,#ffc20e,#ffb612,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LAC.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LAC.png,LAC,5,3,0,6,3,0,11,6,0,0.6470588235294118,2,Los Angeles,5905000,1100000.0
18,LV,Las Vegas Raiders,18,Raiders,AFC,AFC West,#000000,#A5ACAF,#a6aeb0,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LV.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LV.png,LV,2,6,0,2,7,0,4,13,0,0.23529411764705882,4,Las Vegas,889000,1900000.0
19,MIA,Miami Dolphins,19,Dolphins,AFC,AFC East,#008E97,#F58220,#005778,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/MIA.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/MIA.png,MIA,5,3,0,3,6,0,8,9,0,0.47058823529411764,2,Miami-Ft. Lauderdale,1737000,1300000.0
20,MIN,Minnesota Vikings,20,Vikings,NFC,NFC North,#4F2683,#FFC62F,#e9bf9b,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/MIN.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/MIN.png,MIN,8,1,0,6,2,0,14,3,0,0.8235294117647058,2,Minneapolis-St. Paul,1862000,1600000.0
21,NE,New England Patriots,21,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NE.png,NE,2,6,0,2,7,0,4,13,0,0.23529411764705882,4,Boston,2606000,4600000.0
22,NO,New Orleans Saints,22,Saints,NFC,NFC South,#D3BC8D,#000000,#9f8958,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NO.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NO.png,NO,3,6,0,2,6,0,5,12,0,0.29411764705882354,4,New Orleans,672000,1700000.0
23,NYG,New York Giants,23,Giants,NFC,NFC East,#0B2265,#A71930,#a5acaf,#012352,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NYG.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NYG.png,NYG,1,8,0,2,6,0,3,14,0,0.17647058823529413,4,New York City,7595000,2000000.0
24,NYJ,New York Jets,24,Jets,AFC,AFC East,#003F2D,#000000,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NYJ.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NYJ.png,NYJ,3,5,0,2,7,0,5,12,0,0.29411764705882354,3,New York City,7595000,1300000.0
25,PHI,Philadelphia Eagles,25,Eagles,NFC,NFC East,#004C54,#A5ACAF,#acc0c6,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/PHI.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/PHI.png,PHI,8,1,0,6,2,0,14,3,0,0.8235294117647058,1,Philadelphia,3177000,3900000.0
26,PIT,Pittsburgh Steelers,26,Steelers,AFC,AFC North,#000000,#FFB612,#c60c30,#00539b,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/PIT.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/PIT.png,PIT,5,3,0,5,4,0,10,7,0,0.5882352941176471,2,Pittsburgh,1165000,3700000.0
27,SEA,Seattle Seahawks,27,Seahawks,NFC,NFC West,#002244,#69be28,#a5acaf,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SEA.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/SEA.png,SEA,3,6,0,7,1,0,10,7,0,0.5882352941176471,2,Seattle-Tacoma,2071000,2500000.0
28,SF,San Francisco 49ers,28,49ers,NFC,NFC West,#AA0000,#B3995D,#000000,#a5acaf,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SF.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/SF.png,SF,4,5,0,2,6,0,6,11,0,0.35294117647058826,4,SF-Oakland-San Jose,2520000,2400000.0
29,TB,Tampa Bay Buccaneers,29,Buccaneers,NFC,NFC South,#A71930,#322F2B,#000000,#ff7900,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/TB.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/TB.png,TB,5,4,0,5,3,0,10,7,0,0.5882352941176471,1,Tampa-St. Pete,2143000,1300000.0
30,TEN,Tennessee Titans,30,Titans,AFC,AFC South,#002244,#4B92DB,#c60c30,#a5acaf,https://github.com/nflverse/nflverse-pbp/raw/master/titans.png,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/TEN.png,https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/TEN.png,TEN,1,7,0,2,7,0,3,14,0,0.17647058823529413,4,Nashville,1192000,1000000.0
31,WAS,Washington Commanders,31,Commanders,NFC,NFC East,#5A1414,#FFB612,#000000,#5b2b2f,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Washington_commanders.svg/100px-Washington_commanders.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/WAS.png,https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/WAS.png,WAS,7,2,0,5,3,0,12,5,0,0.7058823529411765,2,Washington D.C.,2578000,1400000.0
